rate,count,mean,std,min,25%,50%,75%,max
0.0,1.0,4.338521957397461,,4.338521957397461,4.338521957397461,4.338521957397461,4.338521957397461,4.338521957397461
3.0,15.0,4.413656075795491,0.06144182294390944,4.356367111206056,4.37024712562561,4.3958725929260245,4.438628911972046,4.585662841796875
5.0,15.0,4.462498633066813,0.07088234052874456,4.370502948760985,4.415482997894287,4.436409950256348,4.505423069000243,4.613241195678711
10.0,15.0,4.644748783111572,0.1145434773675575,4.485763072967528,4.558319807052612,4.624293327331543,4.730841636657715,4.906111717224121
