quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile error,quantile error,quantile error,quantile error,quantile error,quantile error,quantile error,quantile error,median,median,median,median,median,median,median,median,median error,median error,median error,median error,median error,median error,median error,median error
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
1.0,16.389541244506837,,16.389541244506837,16.389541244506837,16.389541244506837,16.389541244506837,16.389541244506837,1.0,0.07126163282404008,,0.07126163282404008,0.07126163282404008,0.07126163282404008,0.07126163282404008,0.07126163282404008,1.0,12.432259559631348,,12.432259559631348,12.432259559631348,12.432259559631348,12.432259559631348,12.432259559631348,1.0,0.04149408811388905,,0.04149408811388905,0.04149408811388905,0.04149408811388905,0.04149408811388905,0.04149408811388905
1.0,12.451000976562502,,12.451000976562502,12.451000976562502,12.451000976562502,12.451000976562502,12.451000976562502,1.0,0.07609744409024088,,0.07609744409024088,0.07609744409024088,0.07609744409024088,0.07609744409024088,0.07609744409024088,1.0,0.02734375,,0.02734375,0.02734375,0.02734375,0.02734375,0.02734375,1.0,0.057952220380305765,,0.057952220380305765,0.057952220380305765,0.057952220380305765,0.057952220380305765,0.057952220380305765
1.0,6.8424072265625,,6.8424072265625,6.8424072265625,6.8424072265625,6.8424072265625,6.8424072265625,1.0,0.03997299102471885,,0.03997299102471885,0.03997299102471885,0.03997299102471885,0.03997299102471885,0.03997299102471885,1.0,-0.138427734375,,-0.138427734375,-0.138427734375,-0.138427734375,-0.138427734375,-0.138427734375,1.0,0.03112483457506264,,0.03112483457506264,0.03112483457506264,0.03112483457506264,0.03112483457506264,0.03112483457506264
1.0,8.359254150390626,,8.359254150390626,8.359254150390626,8.359254150390626,8.359254150390626,8.359254150390626,1.0,0.05653539884120917,,0.05653539884120917,0.05653539884120917,0.05653539884120917,0.05653539884120917,0.05653539884120917,1.0,0.044769287109375,,0.044769287109375,0.044769287109375,0.044769287109375,0.044769287109375,0.044769287109375,1.0,0.04020353247134055,,0.04020353247134055,0.04020353247134055,0.04020353247134055,0.04020353247134055,0.04020353247134055
1.0,8.422814941406255,,8.422814941406255,8.422814941406255,8.422814941406255,8.422814941406255,8.422814941406255,1.0,0.05698792265308583,,0.05698792265308583,0.05698792265308583,0.05698792265308583,0.05698792265308583,0.05698792265308583,1.0,-0.28936767578125,,-0.28936767578125,-0.28936767578125,-0.28936767578125,-0.28936767578125,-0.28936767578125,1.0,0.04043546329129249,,0.04043546329129249,0.04043546329129249,0.04043546329129249,0.04043546329129249,0.04043546329129249
1.0,8.405703125,,8.405703125,8.405703125,8.405703125,8.405703125,8.405703125,1.0,0.05869120813096096,,0.05869120813096096,0.05869120813096096,0.05869120813096096,0.05869120813096096,0.05869120813096096,1.0,-0.0355224609375,,-0.0355224609375,-0.0355224609375,-0.0355224609375,-0.0355224609375,-0.0355224609375,1.0,0.040438299401862554,,0.040438299401862554,0.040438299401862554,0.040438299401862554,0.040438299401862554,0.040438299401862554
15.0,16.84685632324219,0.5232753279877196,16.512700119018554,16.544094238281254,16.624266433715825,16.888727874755865,18.551079025268553,15.0,0.07561038237998474,0.003963114814492985,0.0686866057809219,0.0732432172572377,0.07613910010072189,0.07822560519373667,0.08233008184600266,15.0,12.779682159423828,0.41148313879966736,12.515787124633789,12.529367923736572,12.641380310058594,12.815202713012695,14.125006675720215,15.0,0.0426029856223683,0.0008853320927034951,0.041955514709364095,0.0421311655649544,0.042261657089232726,0.0426520144063886,0.04547785660895357
15.0,12.664481791178387,0.20819797972668638,12.508271484375001,12.541079406738282,12.585093994140628,12.706499023437502,13.321049804687501,15.0,0.0794909531085839,0.003057914725462558,0.07270091042442672,0.07810661375156958,0.07944335430009986,0.08106161893787789,0.08492873371326404,15.0,-0.877501904964447,0.33577167987823486,-1.7128448486328125,-1.048309326171875,-0.8109130859375,-0.613616943359375,-0.54034423828125,15.0,0.05889915950287496,0.0007098951472236475,0.05831922812805242,0.05848381385528224,0.058648252763656795,0.05904168253393023,0.06110104436924913
15.0,7.18920182291667,0.4843323813685304,6.896367187500001,6.9373193359375005,7.023193359375,7.193093261718752,8.821171875000001,15.0,0.047269111947827076,0.004207347570155182,0.041709151462383076,0.04486159520386446,0.04660313047192144,0.048010156165524176,0.059530776245416916,15.0,0.964947521686554,1.0356175899505615,-0.061431884765625,0.2605133056640625,0.72900390625,1.3143310546875,3.942138671875,15.0,0.032021405281080904,0.0010659132313043272,0.031364643479931426,0.03150727083592939,0.03166585131388396,0.031981626443037287,0.03562499005074028
