dead PMT rate,var,quantile,quantile error,median,median error
3,X,8.467685546875,0.05623073104056253,0.034858704,0.04073611249740546
3,Y,8.488652343750001,0.0610086363185367,-0.28903198,0.04089250680679562
3,Z,8.481202239990235,0.05790066123325133,-0.025939941,0.0409100713552125
3,Global,16.554064178466803,0.07840104857270802,12.526579,0.04212950579570033
3,Longitudinal,12.517216796875001,0.07944335430009986,-0.6095886,0.05847359920199801
3,Transverse,6.938969726562501,0.04478102149017271,0.042297363,0.03153511449468891
5,X,9.023681640625,0.06192572207858049,0.013994217,0.04311288774544562
5,Y,9.016260375976568,0.059195220345962696,-0.28829956,0.0431684568916909
5,Z,8.8526025390625,0.05956660934592861,-0.0047912598,0.04272910683872147
5,Global,17.555512619018554,0.08003879397081803,13.306651,0.0439994086411383
5,Longitudinal,12.914951171875007,0.08475658157439803,-1.464325,0.059864435703642575
5,Transverse,7.7920556640625005,0.05228819779460636,2.4921875,0.033594198806561865
